Time,Inflation Rate,Trade Balance,Monthly GDP,Unemployment Rate,Trade Interest
7-Jan,6.17,100.87,24.61,5.26,4.16
7-Feb,5.73,81.92,23.28,3.45,1.47
7-Mar,7.89,71.42,26.15,5.86,3.98
7-Apr,8.23,61.06,25.55,4.43,3.08
7-May,7.78,71.15,25.36,4.78,3.79
7-Jun,4.98,79.75,23.71,3.83,3.58
7-Jul,7.94,70.23,24.61,5.16,3.05
7-Aug,5.84,72.63,24.27,3.55,2.68
7-Sep,6.01,86.81,24.22,3.47,3.03
7-Oct,5.27,82.41,26.19,4.74,1.48
7-Nov,3.81,72.37,26.09,5.98,2.88
7-Dec,4.11,73.19,24.12,6.03,3.37
8-Jan,3.11,81.92,24.14,4.73,2.25
8-Feb,6.94,89.59,24.61,4.43,3.24
8-Mar,3.69,67.54,23.89,4.29,2.43
8-Apr,7.67,60.72,27.34,4.22,4.09
8-May,5.81,98.98,27.09,5.78,2.97
8-Jun,6.68,93.26,24.81,5.66,1.91
8-Jul,5.33,99.06,27.24,3.4,2.1
8-Aug,3.94,59.77,25.96,5.82,3.79
8-Sep,6.23,95.69,24.3,4.86,2.86
8-Oct,8.29,95.01,25.96,5.83,2.64
8-Nov,7.96,65.53,27.42,3.86,3.66
8-Dec,8.41,100.26,27.55,5.52,3.45
9-Jan,6.68,96.21,23.56,4.62,1.43
9-Feb,6.54,85.61,27.27,3.52,1.52
9-Mar,5.32,84.54,23.72,4.89,2.2
9-Apr,7.48,62.35,23.59,4.88,3.02
9-May,8.57,67.89,24.73,3.71,3.36
9-Jun,4.19,72.18,24.48,4.87,1.29
9-Jul,6.78,72.63,24.08,5.59,3.04
9-Aug,5.32,100.82,25.75,5.36,3.77
9-Sep,5.3,95.74,24.64,3.99,3.61
9-Oct,7.37,88.94,24.19,5.7,1.79
9-Nov,7.78,74.96,27.13,5.72,1.45
9-Dec,4.81,80.65,26,5.36,3.99
10-Jan,4.16,98.44,25.83,3.82,3.76
10-Feb,4.79,100.56,23.34,5.43,3.83
10-Mar,5.51,90.24,26.24,3.7,2.71
10-Apr,6.69,77.71,26.46,4.76,3.21
10-May,9,67.3,24.47,6.03,2.33
10-Jun,4.41,100.54,26.75,3.47,3.83
10-Jul,4.27,92.33,26.93,5.91,2.37
10-Aug,3.63,59.7,26.57,5.21,3.99
10-Sep,7.3,65.11,26.14,4.36,2.66
10-Oct,6.25,70.55,25.93,3.96,2.54
10-Nov,6.71,84.37,24.65,5.61,2.05
10-Dec,9,98.42,26.92,5.66,1.52
11-Jan,5.52,96.1,27.12,5.23,3.86
11-Feb,7.03,99.85,26.2,5.95,2.52
11-Mar,7,84.39,26.09,5.55,1.68
11-Apr,6.14,101.86,25.62,5.05,3.33
11-May,3.23,95.53,25.02,4.11,3.43
11-Jun,4.04,83.47,24.51,3.9,3.98
11-Jul,4.18,98.35,24.21,5.37,1.98
11-Aug,6.53,78.4,24.2,3.54,3.96
11-Sep,6.33,100.09,25.32,4.88,3.88
11-Oct,6.78,92.3,25.75,3.8,2.07
11-Nov,5.09,67.82,27.58,4.44,3.57
11-Dec,7.81,86.24,24.77,5.86,1.74
12-Jan,7.27,91.56,25.39,4.2,1.91
12-Feb,7.42,86.98,23.29,5.97,2.47
12-Mar,3.92,92.15,24.94,5.99,2.47
12-Apr,7.86,97.31,26.53,5.02,1.87
12-May,7.74,79.79,23.18,3.51,3.89
12-Jun,4.76,63.5,25.94,4.04,1.61
12-Jul,3.75,92.74,25.44,4.6,1.52
12-Aug,6.43,95.88,23.54,4.21,4
12-Sep,8.85,65.51,24.9,4.25,1.59
12-Oct,5.28,86.89,27.17,4.88,2.53
12-Nov,7.93,94.89,23.85,5.48,1.76
12-Dec,4.47,62.19,26.6,5.5,2.42
13-Jan,7.02,80.85,25.77,4.69,2.83
13-Feb,4.68,64.04,23.36,5.82,1.32
13-Mar,7.28,88.49,23.92,4.3,3.35
13-Apr,3.57,73.99,26.72,4.81,2.95
13-May,7.52,65.39,26.71,3.96,3.94
13-Jun,6.38,74.64,25.07,3.44,1.31
13-Jul,7.02,96.39,26.18,4.17,2.65
13-Aug,6.12,59.66,25.38,5.07,1.38
13-Sep,8.68,89.27,24.14,3.95,3.89
13-Oct,3.38,97.47,26.62,5.1,2.94
13-Nov,6.64,97.87,24.45,4.57,3.62
13-Dec,4.46,96.13,26.73,5.41,4.14
14-Jan,5.89,102.34,25.71,4.3,2.75
14-Feb,3.76,83.11,24.53,3.69,1.74
14-Mar,8.95,89.62,26.1,4.16,2.07
14-Apr,5.27,87.39,24.86,3.42,3.67
14-May,5.05,101.5,23.33,4.47,4.17
14-Jun,8.99,99.01,27.35,5.53,2.17
14-Jul,7.16,75.73,23.77,4.09,2.55
14-Aug,6.24,94.72,23.47,3.71,3.23
14-Sep,5.09,78.85,25.23,4.69,1.97
14-Oct,6.4,86.28,27.08,4.43,1.42
14-Nov,5.59,102.24,25.84,5.27,2.82
14-Dec,5.29,74.38,25.92,4.52,3.32
15-Jan,4.64,87.14,24.64,5.62,3.89
15-Feb,5.19,90.27,27.48,3.57,2.6
15-Mar,7.04,92.97,24.13,4.88,2.27
15-Apr,7.89,97.29,23.8,5.17,3.74
15-May,7.14,83.12,24.83,4.8,2.01
15-Jun,4.2,95.43,23.7,5.52,4.02
15-Jul,3.77,65.31,26.34,4.79,2.09
15-Aug,4.21,99.12,23.25,5.63,3.98
15-Sep,4.51,100.39,25.64,5.04,2.11
15-Oct,5.77,69.31,25.63,4.93,2.95
15-Nov,5.69,64.42,24.18,5.37,3.82
15-Dec,6.01,75.73,26.12,4,1.37
16-Jan,3.49,99.81,24.53,3.42,3.4
16-Feb,6.1,66.51,25.61,5.96,2.03
16-Mar,9.04,95.59,25.05,4.33,3.72
16-Apr,6.18,61.99,26.3,5.53,3.06
16-May,3.68,84.86,24.02,5.59,1.85
16-Jun,5.23,61.63,23.48,5.66,2.72
16-Jul,6.41,81.44,24.38,5.65,3.89
16-Aug,3.68,88.49,25.87,4.9,2.15
16-Sep,4.43,68.48,25.24,4.15,2.41
16-Oct,3.16,87.84,27.06,5.62,3.83
16-Nov,5.58,68.76,24.75,5.02,1.63
16-Dec,3.86,88.01,27.55,4.94,3.76
17-Jan,4.7,93.72,26.46,5.24,1.8
17-Feb,3.63,94.11,24.54,3.75,3.86
17-Mar,6.55,94.48,26.58,4.91,1.58
17-Apr,5.53,77.89,25.69,3.58,3.64
17-May,5.08,87.15,23.57,3.63,1.73
17-Jun,6.27,91.31,25.97,5.34,2.14
17-Jul,3.55,65.93,25.53,4.64,1.87
17-Aug,8.1,76.34,23.13,5.39,3.39
17-Sep,4.76,95.63,25.97,5,3.83
17-Oct,4.19,75.82,25.91,5.48,3.48
17-Nov,4.73,72.94,27.13,4.29,1.68
17-Dec,8.23,60.95,24.91,4.43,2.85
18-Jan,3.27,78.06,23.77,3.69,1.49
18-Feb,4.71,60.09,23.8,3.99,1.67
18-Mar,4.89,80.56,25.52,4.76,1.6
18-Apr,7.97,90.14,24.98,5.13,3.05
18-May,6.32,74.1,25.22,4.67,2.36
18-Jun,5.61,91.2,26.9,5.07,2.78
18-Jul,6.79,69.14,25.27,4.16,1.8
18-Aug,4.41,83.03,24.27,4.5,2.9
18-Sep,8.82,68.69,26.74,3.67,1.32
18-Oct,8.55,65.71,26.36,4.31,4.05
18-Nov,3.88,70.03,25.32,4.42,2.54
18-Dec,8.24,96.95,26.54,5.31,2.52
19-Jan,4.19,60.22,26.24,5.11,2.99
19-Feb,4.51,89.74,25,5.29,1.92
19-Mar,6.97,60.05,24.24,3.58,2.87
19-Apr,3.87,91.53,23.32,4.53,3.82
19-May,8.72,98.61,24,3.97,3.27
19-Jun,4.38,90.73,27.15,4.85,1.62
19-Jul,3.28,60.37,25.18,4.83,2.67
19-Aug,3.06,81.12,24.47,3.74,1.42
19-Sep,7.66,98.15,23.7,4.69,3.96
19-Oct,7.08,74.47,24.29,4.67,1.34
19-Nov,7.44,96.04,23.91,5.24,4.04
19-Dec,7.69,73.62,25.15,4.61,1.43
20-Jan,6.99,62.13,24.87,5.89,1.63
20-Feb,6.67,65.48,23.66,4.77,2.82
20-Mar,4.29,90.42,23.15,3.99,1.94
20-Apr,5.34,85.98,26.88,3.83,3.72
20-May,3.79,79.41,23.58,3.74,1.36
20-Jun,5.65,74.31,24.11,5.03,1.66
20-Jul,3.97,82.36,24.92,4.65,2.58
20-Aug,4.65,96.89,23.86,5.06,3.72
20-Sep,8.44,71.14,27.27,4.65,2.71
20-Oct,8.7,79.37,23.85,4.22,2.89
20-Nov,7.62,96.77,24.8,4.29,2.19
20-Dec,4.29,92.62,25.12,6.03,2.24
21-Jan,7.29,86.12,27.44,3.45,2.8
21-Feb,5.79,69.2,23.86,3.42,2.4
21-Mar,8.8,97.04,26.69,5.12,3.68
21-Apr,4.16,65.9,23.12,6.1,1.64
21-May,4.99,66.38,23.29,5.8,1.62
21-Jun,5.39,70.83,23.47,5.9,1.52
21-Jul,5.37,69.34,23.66,5.4,1.32
21-Aug,5.25,71.82,23.82,5.2,1.28
21-Sep,5.39,76.77,24.01,4.8,1.37
21-Oct,6.22,67.36,24.45,4.5,1.58
21-Nov,6.81,79.38,24.58,4.2,1.56
21-Dec,7.04,80.66,24.93,3.9,1.47
22-Jan,7.48,86.5,24.86,4,1.76
22-Feb,7.87,86.96,25.01,3.8,1.93
22-Mar,8.54,102.54,25.29,3.6,2.13
22-Apr,8.26,85.38,25.54,3.7,2.75
22-May,8.58,84.26,25.78,3.6,2.9
22-Jun,9.06,81.22,25.89,3.6,3.14
22-Jul,8.52,71.04,26.12,3.5,2.9
22-Aug,8.26,68.52,26.13,3.6,2.9
22-Sep,8.2,71.22,26.3,3.5,3.52
22-Oct,7.75,75.27,26.46,3.6,3.98
22-Nov,7.11,62.56,26.46,3.6,3.89
22-Dec,6.45,70.76,26.75,3.5,3.62
23-Jan,6.41,69.96,26.82,3.4,3.53
23-Feb,6.04,70.52,26.87,3.6,3.75
23-Mar,4.98,60.32,26.87,3.5,3.66
23-Apr,4.93,72.76,26.94,3.4,3.46
23-May,4.05,66.07,27.07,3.7,3.57
23-Jun,2.97,64.81,27.18,3.6,3.75
23-Jul,3.18,64.61,27.39,3.5,3.9
23-Aug,3.67,59.63,27.62,3.8,4.17